AddressLine1,Birth Date,Color,Commute Distance,Date First Purchase,English Description,English Education,English Occupation,English Product Name,English Promotion Category,English Promotion Name,English Promotion Type,Marital Status,Model Name,OrderDate,Product Alternate Key,Product Line,Product Subcategory Key,ProductKey,ShipDate,Size,Size Range,Size Unit Measure Code,Spanish Education,Spanish Occupation,Spanish Product Name,Spanish Promotion Category,Spanish Promotion Name,Spanish Promotion Type,Start Date,StartDate (DimPromotion),Days To Manufacture,Dealer Price,Discount Pct,DiscountAmount,ExtendedAmount,Freight,List Price,Max Qty,Min Qty,Number Cars Owned,Number Children At Home,Número de registros,OrderQuantity,ProductStandardCost,Reorder Point,Safety Stock Level,SalesAmount,SalesOrderLineNumber,Standard Cost,TaxAmt,Total Children,TotalProductCost,UnitPrice,UnitPriceDiscountPct,Weight,Yearly Income
6516 Beauer Lane,4/12/1961,Black,0-1 Miles,18/02/2011,"Entry level adult bike, offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.",Partial College,Professional,Road-750 Black  58,No Discount,No Discount,No Discount,S,Road-750,17/08/2013 12:00:00 a.m.,BK-R19B-58,R,2,584,24/08/2013 12:00:00 a.m.,58,54-58 CM,CM,Estudios universitarios (en curso),Profesional,Carretera: 750  negra  58,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,323.994,0.00,0,539.9900,13.4998,539.9900,,0,3,4,1,1,343.6496,75,100,539.99,1,343.6496,43.1992,3,343.6496,539.99,0,20.79,130000
3817 Green Hill Rd.,5/08/1976,NA,1-2 Miles,18/02/2011,High-density rubber.,Partial High School,Manual,Touring Tire,No Discount,No Discount,No Discount,S,Touring Tire,5/12/2013 12:00:00 a.m.,TI-T723,T,37,541,12/12/2013 12:00:00 a.m.,,NA,,Educación secundaria (en curso),Obrero,Cubierta de paseo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,17.394,0.00,0,28.9900,0.7248,28.9900,,0,2,0,1,1,10.8423,375,500,28.99,2,10.8423,2.3192,0,10.8423,28.99,0,,20000
3817 Green Hill Rd.,5/08/1976,NA,1-2 Miles,18/02/2011,General purpose tube.,Partial High School,Manual,Touring Tire Tube,No Discount,No Discount,No Discount,S,Touring Tire Tube,5/12/2013 12:00:00 a.m.,TT-T092,T,37,530,12/12/2013 12:00:00 a.m.,,NA,,Educación secundaria (en curso),Obrero,Cubierta para cámara de paseo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,2,0,1,1,1.8663,375,500,4.99,3,1.8663,0.3992,0,1.8663,4.99,0,,20000
3817 Green Hill Rd.,5/08/1976,Black,1-2 Miles,18/02/2011,Full padding  improved finger flex  durable palm  adjustable closure.,Partial High School,Manual,Half-Finger Gloves  L,No Discount,No Discount,No Discount,S,Half-Finger Gloves,5/12/2013 12:00:00 a.m.,GL-H102-L,S,20,467,12/12/2013 12:00:00 a.m.,L,L,,Educación secundaria (en curso),Obrero,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,14.694,0.00,0,24.4900,0.6123,24.4900,,0,2,0,1,1,9.1593,3,4,24.49,4,9.1593,1.9592,0,9.1593,24.49,0,,20000
3817 Green Hill Rd.,5/08/1976,Blue,1-2 Miles,18/02/2011,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,Partial High School,Manual,Touring-2000 Blue  46,No Discount,No Discount,No Discount,S,Touring-2000,5/12/2013 12:00:00 a.m.,BK-T44U-46,T,3,577,12/12/2013 12:00:00 a.m.,46,42-46 CM,CM,Educación secundaria (en curso),Obrero,Paseo: 2000  azul  46,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,728.910,0.00,0,1214.8500,30.3713,1214.8500,,0,2,0,1,1,755.1508,75,100,1214.85,1,755.1508,97.1880,0,755.1508,1214.85,0,27.13,20000
4086 Emmons Canyon Lane,8/04/1963,Red,0-1 Miles,21/02/2011,Universal fit  well-vented  lightweight   snap-on visor.,Partial College,Professional,Sport-100 Helmet  Red,No Discount,No Discount,No Discount,M,Sport-100,12/01/2013 12:00:00 a.m.,HL-U509-R,S,31,214,19/01/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Casco deportivo: 100  rojo,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,3,3,1,1,13.0863,3,4,34.99,3,13.0863,2.7992,2,13.0863,34.99,0,,150000
4086 Emmons Canyon Lane,8/04/1963,NA,0-1 Miles,21/02/2011,Incredible traction  lightweight carbon reinforced.,Partial College,Professional,HL Mountain Tire,No Discount,No Discount,No Discount,M,HL Mountain Tire,12/01/2013 12:00:00 a.m.,TI-M823,M,37,537,19/01/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Cubierta de montaña GA,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,21.000,0.00,0,35.0000,0.8750,35.0000,,0,3,3,1,1,13.0900,375,500,35,2,13.0900,2.8000,2,13.0900,35.00,0,,150000
4086 Emmons Canyon Lane,8/04/1963,Black,0-1 Miles,21/02/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Professional,Mountain-200 Black  42,No Discount,No Discount,No Discount,M,Mountain-200,12/01/2013 12:00:00 a.m.,BK-M68B-42,M,1,361,19/01/2013 12:00:00 a.m.,42,42-46 CM,CM,Estudios universitarios (en curso),Profesional,Montaña: 200  negra  42,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1376.994,0.00,0,2294.9900,57.3748,2294.9900,,0,3,3,1,1,1251.9813,75,100,2294.99,1,1251.9813,183.5992,2,1251.9813,2294.99,0,23.77,150000
4086 Emmons Canyon Lane,8/04/1963,NA,0-1 Miles,21/02/2011,"Aluminum cage is lighter than our mountain version, perfect for long distance trips.",Partial College,Professional,Road Bottle Cage,No Discount,No Discount,No Discount,M,Road Bottle Cage,8/02/2013 12:00:00 a.m.,BC-R205,R,28,479,15/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Portabotellas de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,3,3,1,1,3.3623,3,4,8.99,2,3.3623,0.7192,2,3.3623,8.99,0,,150000
4086 Emmons Canyon Lane,8/04/1963,NA,0-1 Miles,21/02/2011,"AWC logo water bottle - holds 30 oz, leak-proof.",Partial College,Professional,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,M,Water Bottle,8/02/2013 12:00:00 a.m.,WB-H098,S,28,477,15/02/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,3,3,1,1,1.8663,3,4,4.99,3,1.8663,0.3992,2,1.8663,4.99,0,,150000
4086 Emmons Canyon Lane,8/04/1963,Yellow,0-1 Miles,21/02/2011,Short sleeve classic breathable jersey with superior moisture control  front zipper  and 3 back pockets.,Partial College,Professional,Short-Sleeve Classic Jersey  M,No Discount,No Discount,No Discount,M,Short-Sleeve Classic Jersey,8/02/2013 12:00:00 a.m.,SJ-0194-M,S,21,489,15/02/2013 12:00:00 a.m.,M,M,,Estudios universitarios (en curso),Profesional,Jersey clásico de manga corta  M,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,32.394,0.00,0,53.9900,1.3498,53.9900,,0,3,3,1,1,41.5723,3,4,53.99,4,41.5723,4.3192,2,41.5723,53.99,0,,150000
4086 Emmons Canyon Lane,8/04/1963,Blue,0-1 Miles,21/02/2011,All-occasion value bike with our basic comfort and safety features. Offers wider  more stable tires for a ride around town or weekend trip.,Partial College,Professional,Touring-3000 Blue  54,No Discount,No Discount,No Discount,M,Touring-3000,8/02/2013 12:00:00 a.m.,BK-T18U-54,T,3,565,15/02/2013 12:00:00 a.m.,54,54-58 CM,CM,Estudios universitarios (en curso),Profesional,Paseo: 3000  azul  54,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,445.410,0.00,0,742.3500,18.5588,742.3500,,0,3,3,1,1,461.4448,75,100,742.35,1,461.4448,59.3880,2,461.4448,742.35,0,29.68,150000
4086 Emmons Canyon Lane,8/04/1963,NA,0-1 Miles,21/02/2011,"Aluminum cage is lighter than our mountain version, perfect for long distance trips.",Partial College,Professional,Road Bottle Cage,No Discount,No Discount,No Discount,M,Road Bottle Cage,9/06/2013 12:00:00 a.m.,BC-R205,R,28,479,16/06/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Portabotellas de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,3,3,1,1,3.3623,3,4,8.99,3,3.3623,0.7192,2,3.3623,8.99,0,,150000
4086 Emmons Canyon Lane,8/04/1963,Black,0-1 Miles,21/02/2011,Universal fit  well-vented  lightweight   snap-on visor.,Partial College,Professional,Sport-100 Helmet  Black,No Discount,No Discount,No Discount,M,Sport-100,9/06/2013 12:00:00 a.m.,HL-U509,S,31,217,16/06/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Casco deportivo: 100  negro,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,3,3,1,1,13.0863,3,4,34.99,4,13.0863,2.7992,2,13.0863,34.99,0,,150000
4086 Emmons Canyon Lane,8/04/1963,NA,0-1 Miles,21/02/2011,"AWC logo water bottle - holds 30 oz, leak-proof.",Partial College,Professional,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,M,Water Bottle,9/06/2013 12:00:00 a.m.,WB-H098,S,28,477,16/06/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,3,3,1,1,1.8663,3,4,4.99,2,1.8663,0.3992,2,1.8663,4.99,0,,150000
4086 Emmons Canyon Lane,8/04/1963,Black,0-1 Miles,21/02/2011,"Entry level adult bike, offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.",Partial College,Professional,Road-750 Black  48,No Discount,No Discount,No Discount,M,Road-750,9/06/2013 12:00:00 a.m.,BK-R19B-48,R,2,605,16/06/2013 12:00:00 a.m.,48,48-52 CM,CM,Estudios universitarios (en curso),Profesional,Carretera: 750  negra  48,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,323.994,0.00,0,539.9900,13.4998,539.9900,,0,3,3,1,1,343.6496,75,100,539.99,1,343.6496,43.1992,2,343.6496,539.99,0,20.13,150000
3883 Kirkwood Dr,19/10/1978,Silver,0-1 Miles,21/02/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Graduate Degree,Skilled Manual,Mountain-200 Silver  42,No Discount,No Discount,No Discount,S,Mountain-200,24/08/2013 12:00:00 a.m.,BK-M68S-42,M,1,355,31/08/2013 12:00:00 a.m.,42,42-46 CM,CM,Estudios de postgrado,Obrero especializado,Montaña: 200  plateada  42,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1391.994,0.00,0,2319.9900,57.9998,2319.9900,,0,0,0,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,0,1265.6195,2319.99,0,23.77,50000
1102 Geary Ct,3/08/1979,NA,0-1 Miles,23/02/2011,Incredible traction  lightweight carbon reinforced.,Bachelors,Skilled Manual,HL Mountain Tire,No Discount,No Discount,No Discount,M,HL Mountain Tire,1/08/2013 12:00:00 a.m.,TI-M823,M,37,537,8/08/2013 12:00:00 a.m.,,NA,,Licenciatura,Obrero especializado,Cubierta de montaña GA,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,21.000,0.00,0,35.0000,0.8750,35.0000,,0,0,1,1,1,13.0900,375,500,35,2,13.0900,2.8000,1,13.0900,35.00,0,,40000
1102 Geary Ct,3/08/1979,Silver,0-1 Miles,23/02/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Skilled Manual,Mountain-200 Silver  42,No Discount,No Discount,No Discount,M,Mountain-200,1/08/2013 12:00:00 a.m.,BK-M68S-42,M,1,355,8/08/2013 12:00:00 a.m.,42,42-46 CM,CM,Licenciatura,Obrero especializado,Montaña: 200  plateada  42,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1391.994,0.00,0,2319.9900,57.9998,2319.9900,,0,0,1,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,1,1265.6195,2319.99,0,23.77,40000
9236 Woodland Drive,23/12/1979,Blue,0-1 Miles,23/02/2011,Universal fit  well-vented  lightweight   snap-on visor.,Bachelors,Skilled Manual,Sport-100 Helmet  Blue,No Discount,No Discount,No Discount,M,Sport-100,22/08/2013 12:00:00 a.m.,HL-U509-B,S,31,222,29/08/2013 12:00:00 a.m.,,NA,,Licenciatura,Obrero especializado,Casco deportivo: 100  azul,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,0,1,1,1,13.0863,3,4,34.99,2,13.0863,2.7992,1,13.0863,34.99,0,,40000
9236 Woodland Drive,23/12/1979,Silver,0-1 Miles,23/02/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Bachelors,Skilled Manual,Mountain-200 Silver  42,No Discount,No Discount,No Discount,M,Mountain-200,22/08/2013 12:00:00 a.m.,BK-M68S-42,M,1,355,29/08/2013 12:00:00 a.m.,42,42-46 CM,CM,Licenciatura,Obrero especializado,Montaña: 200  plateada  42,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1391.994,0.00,0,2319.9900,57.9998,2319.9900,,0,0,1,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,1,1265.6195,2319.99,0,23.77,40000
4179 Green St.,16/08/1977,NA,1-2 Miles,23/02/2011,"Aluminum cage is lighter than our mountain version, perfect for long distance trips.",Partial High School,Manual,Road Bottle Cage,No Discount,No Discount,No Discount,S,Road Bottle Cage,6/11/2013 12:00:00 a.m.,BC-R205,R,28,479,13/11/2013 12:00:00 a.m.,,NA,,Educación secundaria (en curso),Obrero,Portabotellas de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,2,0,1,1,3.3623,3,4,8.99,2,3.3623,0.7192,0,3.3623,8.99,0,,20000
4179 Green St.,16/08/1977,Black,1-2 Miles,23/02/2011,Universal fit  well-vented  lightweight   snap-on visor.,Partial High School,Manual,Sport-100 Helmet  Black,No Discount,No Discount,No Discount,S,Sport-100,6/11/2013 12:00:00 a.m.,HL-U509,S,31,217,13/11/2013 12:00:00 a.m.,,NA,,Educación secundaria (en curso),Obrero,Casco deportivo: 100  negro,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,2,0,1,1,13.0863,3,4,34.99,4,13.0863,2.7992,0,13.0863,34.99,0,,20000
4179 Green St.,16/08/1977,NA,1-2 Miles,23/02/2011,"AWC logo water bottle - holds 30 oz, leak-proof.",Partial High School,Manual,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,S,Water Bottle,6/11/2013 12:00:00 a.m.,WB-H098,S,28,477,13/11/2013 12:00:00 a.m.,,NA,,Educación secundaria (en curso),Obrero,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,2,0,1,1,1.8663,3,4,4.99,3,1.8663,0.3992,0,1.8663,4.99,0,,20000
4179 Green St.,16/08/1977,Blue,1-2 Miles,23/02/2011,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,Partial High School,Manual,Touring-2000 Blue  54,No Discount,No Discount,No Discount,S,Touring-2000,6/11/2013 12:00:00 a.m.,BK-T44U-54,T,3,579,13/11/2013 12:00:00 a.m.,54,54-58 CM,CM,Educación secundaria (en curso),Obrero,Paseo: 2000  azul  54,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,728.910,0.00,0,1214.8500,30.3713,1214.8500,,0,2,0,1,1,755.1508,75,100,1214.85,1,755.1508,97.1880,0,755.1508,1214.85,0,27.68,20000
1936 Balance Ct,19/10/1983,NA,1-2 Miles,25/02/2011,Tough aluminum cage holds bottle securly on tough terrain.,Partial College,Clerical,Mountain Bottle Cage,No Discount,No Discount,No Discount,S,Mountain Bottle Cage,28/08/2013 12:00:00 a.m.,BC-M005,M,28,478,4/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,Portabotellas de montaña,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.994,0.00,0,9.9900,0.2498,9.9900,,0,0,2,1,1,3.7363,3,4,9.99,2,3.7363,0.7992,2,3.7363,9.99,0,,40000
1936 Balance Ct,19/10/1983,NA,1-2 Miles,25/02/2011,"AWC logo water bottle - holds 30 oz, leak-proof.",Partial College,Clerical,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,S,Water Bottle,28/08/2013 12:00:00 a.m.,WB-H098,S,28,477,4/09/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Administrativo,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,0,2,1,1,1.8663,3,4,4.99,3,1.8663,0.3992,2,1.8663,4.99,0,,40000
1936 Balance Ct,19/10/1983,Blue,1-2 Miles,25/02/2011,Light-weight  wind-resistant  packs to fit into a pocket.,Partial College,Clerical,Classic Vest  M,No Discount,No Discount,No Discount,S,Classic Vest,28/08/2013 12:00:00 a.m.,VE-C304-M,S,25,472,4/09/2013 12:00:00 a.m.,M,M,,Estudios universitarios (en curso),Administrativo,Camiseta clásica  M,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,38.100,0.00,0,63.5000,1.5875,63.5000,,0,0,2,1,1,23.7490,3,4,63.5,4,23.7490,5.0800,2,23.7490,63.50,0,,40000
1936 Balance Ct,19/10/1983,Silver,1-2 Miles,25/02/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Clerical,Mountain-200 Silver  46,No Discount,No Discount,No Discount,S,Mountain-200,28/08/2013 12:00:00 a.m.,BK-M68S-46,M,1,357,4/09/2013 12:00:00 a.m.,46,42-46 CM,CM,Estudios universitarios (en curso),Administrativo,Montaña: 200  plateada  46,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1391.994,0.00,0,2319.9900,57.9998,2319.9900,,0,0,2,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,2,1265.6195,2319.99,0,24.13,40000
76 Woodcrest Dr.,9/06/1964,NA,5-10 Miles,27/02/2011,Tough aluminum cage holds bottle securly on tough terrain.,Partial College,Professional,Mountain Bottle Cage,No Discount,No Discount,No Discount,M,Mountain Bottle Cage,30/12/2012 12:00:00 a.m.,BC-M005,M,28,478,6/01/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Portabotellas de montaña,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.994,0.00,0,9.9900,0.2498,9.9900,,0,4,3,1,1,3.7363,3,4,9.99,2,3.7363,0.7992,2,3.7363,9.99,0,,160000
76 Woodcrest Dr.,9/06/1964,Blue,5-10 Miles,27/02/2011,Universal fit  well-vented  lightweight   snap-on visor.,Partial College,Professional,Sport-100 Helmet  Blue,No Discount,No Discount,No Discount,M,Sport-100,30/12/2012 12:00:00 a.m.,HL-U509-B,S,31,222,6/01/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Casco deportivo: 100  azul,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,20.994,0.00,0,34.9900,0.8748,34.9900,,0,4,3,1,1,13.0863,3,4,34.99,4,13.0863,2.7992,2,13.0863,34.99,0,,160000
76 Woodcrest Dr.,9/06/1964,NA,5-10 Miles,27/02/2011,"AWC logo water bottle - holds 30 oz, leak-proof.",Partial College,Professional,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,M,Water Bottle,30/12/2012 12:00:00 a.m.,WB-H098,S,28,477,6/01/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,4,3,1,1,1.8663,3,4,4.99,3,1.8663,0.3992,2,1.8663,4.99,0,,160000
76 Woodcrest Dr.,9/06/1964,Silver,5-10 Miles,27/02/2011,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Partial College,Professional,Mountain-200 Silver  42,No Discount,No Discount,No Discount,M,Mountain-200,30/12/2012 12:00:00 a.m.,BK-M68S-42,M,1,355,6/01/2013 12:00:00 a.m.,42,42-46 CM,CM,Estudios universitarios (en curso),Profesional,Montaña: 200  plateada  42,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,1391.994,0.00,0,2319.9900,57.9998,2319.9900,,0,4,3,1,1,1265.6195,75,100,2319.99,1,1265.6195,185.5992,2,1265.6195,2319.99,0,23.77,160000
76 Woodcrest Dr.,9/06/1964,NA,5-10 Miles,27/02/2011,"Aluminum cage is lighter than our mountain version, perfect for long distance trips.",Partial College,Professional,Road Bottle Cage,No Discount,No Discount,No Discount,M,Road Bottle Cage,8/05/2013 12:00:00 a.m.,BC-R205,R,28,479,15/05/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Portabotellas de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,4,3,1,1,3.3623,3,4,8.99,2,3.3623,0.7192,2,3.3623,8.99,0,,160000
76 Woodcrest Dr.,9/06/1964,NA,5-10 Miles,27/02/2011,"AWC logo water bottle - holds 30 oz, leak-proof.",Partial College,Professional,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,M,Water Bottle,8/05/2013 12:00:00 a.m.,WB-H098,S,28,477,15/05/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,4,3,1,1,1.8663,3,4,4.99,3,1.8663,0.3992,2,1.8663,4.99,0,,160000
76 Woodcrest Dr.,9/06/1964,Blue,5-10 Miles,27/02/2011,The plush custom saddle keeps you riding all day   and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.,Partial College,Professional,Touring-2000 Blue  54,No Discount,No Discount,No Discount,M,Touring-2000,8/05/2013 12:00:00 a.m.,BK-T44U-54,T,3,579,15/05/2013 12:00:00 a.m.,54,54-58 CM,CM,Estudios universitarios (en curso),Profesional,Paseo: 2000  azul  54,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,4,728.910,0.00,0,1214.8500,30.3713,1214.8500,,0,4,3,1,1,755.1508,75,100,1214.85,1,755.1508,97.1880,2,755.1508,1214.85,0,27.68,160000
76 Woodcrest Dr.,9/06/1964,NA,5-10 Miles,27/02/2011,"Aluminum cage is lighter than our mountain version, perfect for long distance trips.",Partial College,Professional,Road Bottle Cage,No Discount,No Discount,No Discount,M,Road Bottle Cage,13/05/2013 12:00:00 a.m.,BC-R205,R,28,479,20/05/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,Portabotellas de carretera,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,5.394,0.00,0,8.9900,0.2248,8.9900,,0,4,3,1,1,3.3623,3,4,8.99,3,3.3623,0.7192,2,3.3623,8.99,0,,160000
76 Woodcrest Dr.,9/06/1964,NA,5-10 Miles,27/02/2011,"AWC logo water bottle - holds 30 oz, leak-proof.",Partial College,Professional,Water Bottle - 30 oz.,No Discount,No Discount,No Discount,M,Water Bottle,13/05/2013 12:00:00 a.m.,WB-H098,S,28,477,20/05/2013 12:00:00 a.m.,,NA,,Estudios universitarios (en curso),Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,2.994,0.00,0,4.9900,0.1248,4.9900,,0,4,3,1,1,1.8663,3,4,4.99,2,1.8663,0.3992,2,1.8663,4.99,0,,160000
76 Woodcrest Dr.,9/06/1964,Black,5-10 Miles,27/02/2011,Full padding  improved finger flex  durable palm  adjustable closure.,Partial College,Professional,Half-Finger Gloves  L,No Discount,No Discount,No Discount,M,Half-Finger Gloves,13/05/2013 12:00:00 a.m.,GL-H102-L,S,20,467,20/05/2013 12:00:00 a.m.,L,L,,Estudios universitarios (en curso),Profesional,,Sin descuento,Sin descuento,Sin descuento,1/07/2013 12:00:00 a.m.,29/11/2010 12:00:00 a.m.,0,14.694,0.00,0,24.4900,0.6123,24.4900,,0,4,3,1,1,9.1593,3,4,24.49,4,9.1593,1.9592,2,9.1593,24.49,0,,160000
